ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,3,8,2,8,6,1,9,5,6,1,6,7,3,6,10,5,-1,7,3,5
2,10,4,7,2,10,-1,10,10,10,10,6,0,0,1,7,10,-1,10,-1,5
3,7,5,8,6,8,-1,9,6,7,7,4,5,3,3,4,6,7,10,10,-1
4,8,7,5,-1,7,5,-1,6,6,-1,6,7,10,5,7,8,8,7,5,5
5,8,9,9,8,8,8,10,8,9,8,9,10,10,9,10,-1,9,10,8,9
6,8,8,8,9,9,7,8,8,9,8,8,9,8,8,9,9,8,8,8,8
7,6,0,1,0,1,0,-1,1,1,2,6,1,9,1,1,0,1,1,8,6
8,1,10,0,0,4,5,10,6,4,0,10,-1,0,0,10,-1,0,8,1,0
9,8,9,9,9,8,8,9,9,9,9,9,9,9,9,9,9,8,-1,9,10
10,9,-1,9,9,-1,10,10,9,10,10,8,7,10,8,9,-1,10,10,10,10
11,3,8,3,7,7,3,5,5,8,-1,7,3,-1,4,8,6,3,9,4,6
12,8,10,0,9,0,0,7,8,0,10,9,9,10,10,10,0,8,8,10,6
13,0,0,0,0,0,0,0,2,2,0,0,1,0,1,0,5,3,0,0,0
14,3,7,9,8,2,1,5,2,5,7,9,5,9,6,4,5,3,-1,3,4
15,0,8,0,-1,0,0,0,7,0,0,9,0,5,10,10,0,0,0,6,-1
16,0,4,0,0,0,0,10,0,0,0,9,-1,10,10,10,0,0,5,5,-1
17,0,-1,0,5,0,0,0,1,0,0,-1,0,0,0,7,0,0,0,0,0
18,0,10,1,10,3,1,3,1,7,10,10,10,10,10,10,-1,3,0,10,4
19,0,9,0,0,6,0,8,8,0,8,9,8,0,9,9,0,0,9,0,0
20,9,10,8,10,3,5,5,6,10,9,9,10,10,10,10,5,7,8,5,-1
21,7,8,6,-1,9,8,9,9,9,7,10,5,5,9,10,9,8,10,8,9
22,-1,0,-1,9,9,0,2,0,9,7,3,-1,3,3,3,8,7,9,8,0
23,6,9,-1,10,9,6,8,5,10,10,-1,1,0,9,10,6,6,8,-1,8
24,8,9,9,10,10,10,9,9,10,10,10,9,9,10,10,10,-1,10,10,10
25,-1,8,9,8,8,7,8,8,9,8,8,8,9,9,9,8,9,9,9,7
26,8,9,6,7,7,5,9,-1,9,8,8,9,9,9,9,7,9,9,9,9
27,7,10,0,10,-1,0,0,0,0,0,0,-1,0,10,10,0,10,10,0,-1
28,-1,10,10,10,10,7,10,10,10,10,10,4,-1,10,10,-1,10,10,10,10
29,7,0,0,1,7,0,6,1,7,7,10,8,0,0,1,6,7,8,8,9
30,0,0,6,1,0,0,8,0,0,0,10,1,0,0,0,0,0,0,0,0
31,6,0,0,6,-1,0,6,7,8,8,0,0,0,0,-1,-1,-1,7,9,8
32,6,6,7,7,-1,6,6,6,7,7,7,8,8,7,-1,6,7,7,8,8
33,4,-1,3,10,-1,8,7,10,3,3,5,7,8,9,10,4,3,6,3,4
34,7,7,-1,8,8,6,10,7,6,7,-1,9,9,8,-1,6,6,6,6,6
35,0,9,0,10,10,10,10,10,10,10,10,9,-1,10,0,9,0,0,10,0
36,-1,2,5,-1,7,1,9,2,0,0,4,0,0,6,0,3,0,10,0,8
37,2,-1,-1,-1,2,3,9,4,7,3,6,6,0,0,-1,5,1,8,4,5
38,5,-1,7,8,4,6,7,8,8,9,9,8,-1,-1,9,6,7,7,9,9
39,8,-1,8,6,7,4,-1,9,9,9,10,8,7,9,10,8,5,9,9,9
40,7,9,-1,9,9,8,9,9,9,10,10,-1,9,9,10,-1,9,9,10,10
41,5,6,-1,5,-1,5,7,5,8,7,6,5,8,4,5,5,6,9,7,7
42,4,0,8,1,8,7,6,7,2,2,8,5,2,0,1,1,1,8,1,3
43,7,9,10,9,10,7,6,8,9,8,9,10,7,9,9,8,8,10,10,10
44,10,5,5,10,-1,5,5,10,10,10,5,5,-1,10,5,5,5,10,10,5
45,0,0,2,0,0,0,4,7,0,0,10,5,5,0,0,0,0,0,0,6
46,8,9,10,4,10,9,9,-1,10,10,9,7,8,4,6,10,7,10,10,9
47,5,8,5,8,3,4,5,4,-1,6,8,8,8,9,10,0,7,7,7,7
48,8,9,6,8,-1,7,7,7,10,10,10,9,9,10,-1,8,10,7,10,10
49,8,3,0,10,0,0,0,5,10,10,0,0,0,7,8,0,0,9,0,6
50,1,7,2,2,1,2,8,-1,2,10,2,2,1,9,-1,1,2,9,9,1
51,5,10,-1,8,5,5,5,-1,8,8,10,-1,7,7,10,7,7,9,7,-1
52,2,7,9,10,5,0,5,0,-1,7,10,7,7,10,10,0,0,5,0,8
53,9,8,10,-1,9,8,-1,8,10,8,8,9,9,8,10,-1,9,10,9,7
54,6,7,9,6,3,3,6,9,8,4,9,-1,8,-1,8,7,7,6,6,3
55,5,10,0,-1,0,0,4,0,7,0,10,9,9,10,10,0,0,0,0,10
56,8,7,8,7,8,6,-1,2,7,7,7,1,0,9,10,10,8,10,-1,10
57,4,7,7,-1,2,2,7,7,8,8,8,7,-1,9,9,5,5,7,7,9
58,2,9,0,9,0,0,-1,4,6,0,10,-1,9,8,9,0,0,0,0,8
59,-1,8,8,-1,5,5,6,7,8,8,10,9,7,7,10,9,7,7,8,-1
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,10,6,7,3,3,3,-1,5,4,10,9,8,9,10,6,6,-1,4,9
62,5,7,0,9,0,0,0,0,0,0,10,0,0,-1,0,0,0,8,0,10
63,0,7,3,6,0,2,10,-1,6,0,8,9,9,5,10,0,0,6,9,6
64,8,10,5,9,5,5,8,8,5,8,9,8,9,10,10,-1,8,10,8,8
65,3,6,5,7,3,2,8,10,7,5,8,8,6,5,10,5,5,6,5,9
66,0,10,0,8,0,0,0,4,2,0,6,0,0,6,9,0,0,0,0,8
67,7,7,-1,1,2,2,8,2,2,2,-1,2,9,1,-1,2,7,1,1,7
68,6,7,9,-1,-1,5,6,-1,8,7,7,1,1,8,-1,-1,5,-1,9,9
69,6,0,8,2,5,-1,9,9,9,9,-1,6,0,0,-1,8,-1,6,7,7
70,10,0,10,0,10,0,7,0,10,0,10,0,0,0,0,-1,10,10,10,10
71,6,8,6,6,6,-1,8,-1,9,8,6,-1,0,5,8,7,6,6,7,8
72,-1,9,0,9,9,0,8,0,6,6,9,9,8,8,10,7,6,9,5,9
73,6,7,3,6,0,5,5,10,1,3,10,10,-1,10,8,0,0,0,0,8
74,0,9,10,9,8,7,9,-1,10,9,10,6,4,-1,6,9,9,10,9,10
75,0,8,0,9,6,0,0,0,0,7,0,0,0,8,0,0,7,9,-1,0
76,0,0,0,2,0,0,0,0,1,0,2,5,2,2,0,1,1,3,0,6
77,0,6,0,4,0,0,0,0,0,0,7,-1,9,4,6,7,4,8,7,7
78,0,0,0,0,0,0,3,3,0,0,0,8,6,0,7,0,0,0,0,0
79,8,9,6,6,7,7,7,7,-1,7,7,7,7,7,10,7,-1,9,8,7
80,8,-1,8,9,7,7,8,8,9,9,-1,7,5,5,10,10,10,9,9,7
81,5,8,5,8,6,8,4,5,7,-1,-1,6,7,-1,7,-1,-1,-1,5,5
82,6,8,2,9,7,2,5,3,5,7,7,2,1,-1,7,7,9,9,2,3
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,8,8,10,9,9,8,8,7,9,9,9,8,8,9,8,8,8,10,9,9
85,5,0,4,0,0,0,8,0,0,0,0,0,0,7,0,3,0,0,0,0
86,9,8,8,8,9,9,8,8,10,9,7,-1,10,10,10,8,-1,10,8,-1
87,0,5,2,8,2,0,5,7,8,3,1,0,0,7,8,3,1,0,0,0
88,9,10,7,6,5,0,0,8,10,0,8,0,0,0,7,8,9,7,0,8
89,0,9,0,9,0,0,9,0,0,8,0,0,0,0,-1,0,0,0,0,0
90,7,-1,1,5,7,-1,6,7,1,2,8,5,8,3,7,3,9,9,5,7
