ID,Zodiacs,Colours,Numbers,Seasons,Music_Genres,Musical_instruments,Social_Media,Alignments,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6,off_mbti
1,Cự giải (21/6 - 22/7),Xanh dương,7,Xuân,Rap,Đàn piano,Facebook,Nhân vật trung lập.,1,0,0,0,0,0,INFP
2,Bọ cạp (23/10 - 21/11),Xanh dương,1,Đông,Indie,Đàn piano,Facebook,Chuyên gây rối nhưng hướng thiện.,1,0,0,0,0,0,INFJ
3,Cán cân công lý (23/9 - 22/10),Xanh dương,1,Xuân,Pop,Đàn piano,Instagram,Chuyên gây rối nhưng hướng thiện.,1,0,0,0,0,0,ENFP
4,Bạch dương (21/3 - 19/4),Xanh dương,9,Đông,Rap,Đàn piano,Facebook,Không tuân theo các quy tắc.,1,0,0,0,0,1,INTP
5,Kim ngưu (20/4 - 20/5),Tím,5,Đông,Indie,Đàn piano,Facebook,Nhân vật trung lập.,0,0,1,1,0,0,INFP
6,Cự giải (21/6 - 22/7),Xanh lá,3,Thu,Indie,Guitar Acoustic,Facebook,Chuyên gây rối nhưng hướng thiện.,0,0,0,1,0,0,ENFP
7,Bảo bình (20/1 - 18/2),Hồng nhạt,1,Đông,Pop,Đàn piano,Facebook,Nhân vật trung lập.,0,0,1,0,0,0,ENFJ
8,Sư tử (23/7 - 22/8),Xanh dương,8,Hạ,Nhạc phim,Guitar Acoustic,Facebook,Cố gắng sống theo quy tắc cả chung và riêng bản thân.,1,1,0,1,1,0,INFJ
9,Cự giải (21/6 - 22/7),Trắng,7,Xuân,Rap,Ukulele,TikTok,Công lý là trên hết.,0,1,0,0,0,0,ISFP
10,Bảo bình (20/1 - 18/2),Xanh dương,9,Xuân,Lo-Fi,Sáo,Youtube,Công lý là trên hết.,1,0,0,0,0,0,INFP
11,Sư tử (23/7 - 22/8),Đen,7,Đông,Rap,Guitar Acoustic,Instagram,Không tuân theo các quy tắc.,1,0,0,0,0,0,INTP
12,Sư tử (23/7 - 22/8),Đen,1,Xuân,Pop,Đàn piano,Facebook,Công lý là trên hết.,1,1,0,0,0,1,ENFJ
13,Song ngư (19/2 - 20/3),Xanh dương,2,Đông,Pop,Đàn piano,Facebook,Nhân vật trung lập.,1,0,0,0,0,0,INFP
14,Cự giải (21/6 - 22/7),Đen,7,Thu,Pop,Đàn piano,Instagram,"Sống đúng luật, nhưng không gò bó.",1,1,1,1,0,1,INFP
15,Cán cân công lý (23/9 - 22/10),Xanh dương,6,Đông,Pop,Đàn piano,Youtube,Chuyên gây rối nhưng hướng thiện.,0,1,0,0,0,0,ENFP
16,Bọ cạp (23/10 - 21/11),Đen,7,Đông,Indie,Đàn piano,Facebook,Tôn trọng các quy tắc nhưng dùng nó cho mục đích xấu xa.,0,0,0,0,0,1,INTJ
17,Kim ngưu (20/4 - 20/5),Xanh dương,3,Đông,Pop,Guitar Acoustic,Facebook,Không tuân theo các quy tắc.,0,0,0,1,0,0,ISFP
18,Xử nữ (23/8 - 22/9),Xám,9,Đông,Lo-Fi,Đàn piano,Facebook,Công lý là trên hết.,0,1,0,0,0,0,INFJ
19,Kim ngưu (20/4 - 20/5),Trắng,9,Đông,Nhạc phim,Ukulele,Instagram,Chuyên gây rối nhưng hướng thiện.,1,0,0,0,0,0,INFP
20,Ma kết ( 22/12 -19/1),Xám,2,Thu,Indie,Guitar Acoustic,Youtube,Nhân vật trung lập.,0,1,1,1,0,0,INFP
21,Bạch dương (21/3 - 19/4),Vàng,2,Đông,Indie,Guitar Acoustic,Facebook,Chuyên gây rối nhưng hướng thiện.,0,1,0,1,0,1,ENFP
22,Bảo bình (20/1 - 18/2),Trắng,5,Thu,Indie,Đàn piano,Facebook,"Sống đúng luật, nhưng không gò bó.",1,0,0,0,0,0,INFP
23,Sư tử (23/7 - 22/8),Đỏ,5,Xuân,EDM,Đàn piano,Youtube,"Sống đúng luật, nhưng không gò bó.",1,0,0,0,0,0,ENFP
24,Song tử (21/5 - 20/6),Xanh dương,6,Xuân,Indie,Đàn piano,Instagram,Chuyên gây rối nhưng hướng thiện.,1,0,0,0,0,0,ENFP
25,Cán cân công lý (23/9 - 22/10),Xanh dương,9,Thu,Indie,Guitar Acoustic,Youtube,"Sống đúng luật, nhưng không gò bó.",1,1,1,0,0,0,INFP
26,Song ngư (19/2 - 20/3),Đỏ,3,Đông,Pop,Đàn piano,Facebook,Không tuân theo các quy tắc.,0,1,1,1,0,1,ENFP
27,Sư tử (23/7 - 22/8),Hồng nhạt,5,Đông,Rap,Guitar Acoustic,Facebook,Chuyên gây rối nhưng hướng thiện.,1,0,0,0,0,0,ESFP
28,Sư tử (23/7 - 22/8),Xanh dương,8,Đông,Indie,Đàn piano,Instagram,"Sống đúng luật, nhưng không gò bó.",1,0,0,0,0,0,ENFP
29,Bọ cạp (23/10 - 21/11),Đen,5,Đông,Indie,Guitar Acoustic,Facebook,Chuyên gây rối nhưng hướng thiện.,1,0,0,0,0,0,INFP
30,Ma kết ( 22/12 -19/1),Trắng,9,Đông,Pop,Cello,Facebook,"Sống đúng luật, nhưng không gò bó.",0,0,0,1,1,1,ISFJ
31,Nhân mã (22/11 - 21/12),Xanh dương,4,Xuân,Lo-Fi,Guitar Acoustic,Facebook,Công lý là trên hết.,1,1,1,1,1,1,ISFP
32,Song ngư (19/2 - 20/3),Xanh lá,9,Xuân,Pop,Đàn piano,Facebook,Không tuân theo các quy tắc.,1,0,0,0,0,0,INFP
33,Ma kết ( 22/12 -19/1),Trắng,1,Xuân,Rap,Guitar Acoustic,Youtube,Cố gắng sống theo quy tắc cả chung và riêng bản thân.,1,1,1,1,0,1,ISTJ
34,Kim ngưu (20/4 - 20/5),Xanh dương,4,Xuân,Lo-Fi,Guitar Acoustic,Facebook,Chuyên gây rối nhưng hướng thiện.,0,1,0,0,0,0,ISFP
35,Xử nữ (23/8 - 22/9),Hồng nhạt,2,Đông,Indie,Đàn piano,Instagram,Chuyên gây rối nhưng hướng thiện.,0,1,0,0,0,0,INFP
36,Song tử (21/5 - 20/6),Đen,7,Đông,Indie,Đàn piano,Instagram,Nhân vật trung lập.,1,0,0,0,0,0,INTP
37,Bạch dương (21/3 - 19/4),Cam,7,Xuân,Pop,Ukulele,Youtube,Chuyên gây rối nhưng hướng thiện.,1,0,0,0,0,0,ENFP
38,Kim ngưu (20/4 - 20/5),Trắng,9,Đông,Nhạc phim,Đàn piano,Instagram,Cố gắng sống theo quy tắc cả chung và riêng bản thân.,1,0,0,0,0,0,INFJ
39,Bạch dương (21/3 - 19/4),Xanh dương,7,Đông,Pop,Guitar Acoustic,Instagram,Sẵn sàng lách luật để thực hiện mục đích xấu xa.,1,1,1,1,1,1,INFP
40,Cự giải (21/6 - 22/7),Đen,7,Xuân,Lo-Fi,Trống,Facebook,"Sống đúng luật, nhưng không gò bó.",0,0,0,1,0,0,INFP
41,Song tử (21/5 - 20/6),Đỏ,9,Thu,Indie,Violon,Facebook,"Sống đúng luật, nhưng không gò bó.",1,0,0,0,0,1,ENFP
42,Sư tử (23/7 - 22/8),Xanh dương,2,Đông,Indie,Ukulele,Facebook,Không tuân theo các quy tắc.,1,0,0,0,0,0,INFP
43,Bảo bình (20/1 - 18/2),Đỏ,2,Xuân,Pop,Guitar Acoustic,Facebook,Kẻ chuyên gây rối với mục đích xấu xa.,0,1,1,0,0,1,ESFP
44,Song ngư (19/2 - 20/3),Vàng,2,Thu,Indie,Guitar Acoustic,Instagram,Chuyên gây rối nhưng hướng thiện.,1,1,0,0,0,0,INFP
45,Nhân mã (22/11 - 21/12),Đen,2,Đông,Indie,Violon,Instagram,Không tuân theo các quy tắc.,1,1,1,1,0,1,INFP
46,Cán cân công lý (23/9 - 22/10),Tím,7,Xuân,Pop,Ukulele,Facebook,"Sống đúng luật, nhưng không gò bó.",1,0,0,0,0,0,INFP
47,Ma kết ( 22/12 -19/1),Đen,4,Hạ,Lo-Fi,Guitar Acoustic,Facebook,"Sống đúng luật, nhưng không gò bó.",0,0,0,1,0,0,ISFJ
48,Cự giải (21/6 - 22/7),Đen,7,Thu,Indie,Guitar Acoustic,Facebook,"Sống đúng luật, nhưng không gò bó.",1,1,1,1,1,1,INFP
49,Bảo bình (20/1 - 18/2),Hồng nhạt,8,Đông,Nhạc phim,Guitar Acoustic,Facebook,Không tuân theo các quy tắc.,1,0,0,0,0,0,INFJ
50,Cán cân công lý (23/9 - 22/10),Xanh lá,6,Xuân,Nhạc phim,Đàn piano,Facebook,Chuyên gây rối nhưng hướng thiện.,1,1,0,1,0,1,INFJ
51,Bọ cạp (23/10 - 21/11),Xám,1,Xuân,Nhạc phim,Đàn piano,Facebook,Sẵn sàng lách luật để thực hiện mục đích xấu xa.,0,0,0,1,0,0,INTJ
52,Cự giải (21/6 - 22/7),Xanh lá,7,Đông,Indie,Đàn piano,Instagram,"Sống đúng luật, nhưng không gò bó.",1,0,0,0,0,0,INFP
53,Cán cân công lý (23/9 - 22/10),Xanh dương,7,Đông,Pop,Đàn piano,Instagram,"Sống đúng luật, nhưng không gò bó.",1,0,1,1,0,1,INFP
54,Ma kết ( 22/12 -19/1),Đen,7,Hạ,Pop,Đàn piano,Facebook,Không tuân theo các quy tắc.,1,0,0,0,0,0,INTJ
55,Bạch dương (21/3 - 19/4),Xanh lá,7,Đông,Lo-Fi,Guitar Acoustic,Youtube,Không tuân theo các quy tắc.,0,0,1,1,0,0,INFP
56,Ma kết ( 22/12 -19/1),Đen,9,Xuân,Rap,Đàn piano,Facebook,"Sống đúng luật, nhưng không gò bó.",1,1,0,0,0,1,INFJ
57,Cự giải (21/6 - 22/7),Đen,7,Thu,Indie,Guitar Acoustic,Instagram,"Sống đúng luật, nhưng không gò bó.",1,1,0,1,0,1,INFP
58,Bọ cạp (23/10 - 21/11),Xanh lá,2,Đông,Indie,Sáo,Facebook,Nhân vật trung lập.,0,0,1,0,0,0,INFJ
59,Kim ngưu (20/4 - 20/5),Trắng,5,Đông,Nhạc phim,Đàn piano,Youtube,Không tuân theo các quy tắc.,1,1,1,0,1,1,INFP
60,Bọ cạp (23/10 - 21/11),Xanh dương,7,Đông,Pop,Trống,Facebook,Nhân vật trung lập.,1,0,0,1,1,1,INFP
61,Ma kết ( 22/12 -19/1),Xanh dương,4,Đông,Nhạc phim,Đàn piano,Instagram,Chuyên gây rối nhưng hướng thiện.,1,0,0,0,0,0,INTJ
62,Song ngư (19/2 - 20/3),Xanh dương,2,Xuân,Pop,Đàn piano,Facebook,Chuyên gây rối nhưng hướng thiện.,1,0,0,1,0,1,INFP
63,Ma kết ( 22/12 -19/1),Trắng,5,Xuân,Nhạc phim,Đàn piano,Facebook,"Sống đúng luật, nhưng không gò bó.",1,0,0,1,0,1,INFJ
64,Nhân mã (22/11 - 21/12),Vàng,5,Xuân,Lo-Fi,Guitar Bass,Facebook,Nhân vật trung lập.,0,0,0,1,0,1,ENFP
65,Bọ cạp (23/10 - 21/11),Vàng,6,Xuân,Lo-Fi,Trống,Facebook,Không tuân theo các quy tắc.,1,1,1,1,1,1,INFP
66,Ma kết ( 22/12 -19/1),Xanh dương,7,Xuân,Pop,Đàn piano,Instagram,Cố gắng sống theo quy tắc cả chung và riêng bản thân.,0,0,0,1,0,1,INFP
67,Bạch dương (21/3 - 19/4),Tím,7,Đông,Lo-Fi,Violon,TikTok,Kẻ chuyên gây rối với mục đích xấu xa.,1,1,0,0,0,1,INFP
68,Kim ngưu (20/4 - 20/5),Xanh dương,1,Thu,Nhạc phim,Đàn piano,Instagram,Kẻ chuyên gây rối với mục đích xấu xa.,1,1,0,1,0,1,INTP
69,Song tử (21/5 - 20/6),Xanh lá,5,Thu,Indie,Đàn piano,Youtube,Cố gắng sống theo quy tắc cả chung và riêng bản thân.,1,1,0,0,0,0,ENFP
70,Song ngư (19/2 - 20/3),Xanh lá,3,Xuân,Nhạc phim,Guitar Acoustic,TikTok,Chuyên gây rối nhưng hướng thiện.,1,0,0,0,0,0,INFP
71,Bọ cạp (23/10 - 21/11),Xanh dương,2,Thu,Nhạc phim,Đàn piano,Youtube,Tôn trọng các quy tắc nhưng dùng nó cho mục đích xấu xa.,1,1,0,0,0,1,INTJ
72,Song tử (21/5 - 20/6),Trắng,6,Thu,Lo-Fi,Đàn piano,Youtube,Chuyên gây rối nhưng hướng thiện.,1,1,1,1,1,1,INFP
73,Bảo bình (20/1 - 18/2),Xanh dương,2,Xuân,Nhạc phim,Violon,Facebook,Nhân vật trung lập.,1,1,0,0,1,1,INFP
74,Bạch dương (21/3 - 19/4),Xanh dương,3,Đông,Nhạc phim,Đàn piano,Facebook,Sẵn sàng lách luật để thực hiện mục đích xấu xa.,1,0,0,0,0,0,INTJ
75,Nhân mã (22/11 - 21/12),Xanh dương,9,Đông,Indie,Guitar Acoustic,Discord,"Sống đúng luật, nhưng không gò bó.",0,1,0,1,0,1,INFP
76,Bảo bình (20/1 - 18/2),Xanh dương,1,Đông,Nhạc phim,Guitar Acoustic,Facebook,Không tuân theo các quy tắc.,1,0,0,1,0,0,INTP
77,Kim ngưu (20/4 - 20/5),Đen,5,Đông,Pop,Đàn piano,TikTok,Cố gắng sống theo quy tắc cả chung và riêng bản thân.,1,0,1,1,0,0,ISFP
78,Bảo bình (20/1 - 18/2),Đen,5,Đông,Pop,Đàn piano,Facebook,Sẵn sàng lách luật để thực hiện mục đích xấu xa.,0,1,1,1,0,1,ENTJ
79,Sư tử (23/7 - 22/8),Xám,8,Thu,Lo-Fi,Guitar Acoustic,Youtube,Chuyên gây rối nhưng hướng thiện.,1,1,0,0,0,1,INFP
80,Sư tử (23/7 - 22/8),Xanh dương,7,Đông,EDM,Đàn piano,TikTok,"Sống đúng luật, nhưng không gò bó.",0,0,0,1,0,0,INFP
81,Bạch dương (21/3 - 19/4),Xanh dương,3,Đông,Pop,Đàn piano,Facebook,Công lý là trên hết.,1,0,1,1,0,1,ENFP
82,Bảo bình (20/1 - 18/2),Xanh dương,2,Thu,Lo-Fi,Guitar điện,Youtube,Cố gắng sống theo quy tắc cả chung và riêng bản thân.,1,1,0,1,0,1,INFP
83,Xử nữ (23/8 - 22/9),Đen,9,Xuân,EDM,Sáo,Youtube,Nhân vật trung lập.,0,0,0,0,0,1,INFJ
84,Bọ cạp (23/10 - 21/11),Trắng,8,Xuân,Lo-Fi,Guitar Acoustic,Instagram,Không tuân theo các quy tắc.,1,0,0,0,0,0,INFP
85,Cự giải (21/6 - 22/7),Đen,6,Xuân,Nhạc phim,Violon,Facebook,Chuyên gây rối nhưng hướng thiện.,1,0,0,0,0,0,INFJ
86,Bảo bình (20/1 - 18/2),Xanh dương,2,Thu,Nhạc phim,Đàn piano,TikTok,Không tuân theo các quy tắc.,0,0,0,0,0,1,INTP
87,Bọ cạp (23/10 - 21/11),Đen,9,Thu,Indie,Guitar Acoustic,Facebook,Không tuân theo các quy tắc.,0,1,0,0,0,0,INFJ
88,Cán cân công lý (23/9 - 22/10),Xanh lá,3,Đông,Nhạc phim,Violon,Youtube,Chuyên gây rối nhưng hướng thiện.,0,0,0,1,1,1,ENFP
89,Cự giải (21/6 - 22/7),Xanh dương,7,Đông,Nhạc phim,Đàn piano,Duolingo,Nhân vật trung lập.,0,0,0,1,1,1,INFJ
90,Bạch dương (21/3 - 19/4),Xanh dương,9,Đông,Lo-Fi,Ukulele,Facebook,Tôn trọng các quy tắc nhưng dùng nó cho mục đích xấu xa.,0,0,0,1,0,0,INFP
